"","stimulus","context","response","longWord","shortWord","order","workerid"
"1","LongShort 14","neut","long","saxophone","sax","longfirst",1
"2","LongShort 31","supp","short","mayonnaise","mayo","longfirst",1
"3","LongShort 33","neut","long","milkshake","shake","shortfirst",1
"4","LongShort 12","neut","long","pornography","porn","shortfirst",1
"5","LongShort 27","supp","long","microphone","mic","longfirst",1
"6","LongShort 10","neut","long","rhinoceros","rhino","shortfirst",1
"7","LongShort 18","supp","short","undergraduate","undergrad","shortfirst",1
"8","LongShort 35","neut","short","hamburger","burger","longfirst",1
"9","LongShort 5","supp","short","memorandum","memo","shortfirst",1
"10","LongShort 38","neut","long","emergency room","ER","longfirst",1
"11","LongShort 40","supp","long","United Nations","U.N.","shortfirst",1
"12","LongShort 34","neut","short","veterinarian","vet","longfirst",1
"13","LongShort 23","neut","short","advertisement","ad","longfirst",1
"14","LongShort 11","neut","short","chimpanzee","chimp","shortfirst",1
"15","LongShort 37","supp","short","quadrangle","quad","longfirst",1
"16","LongShort 20","neut","long","chemotherapy","chemo","longfirst",1
"17","LongShort 15","neut","long","cockroach","roach","shortfirst",1
"18","LongShort 25","supp","short","gasoline","gas","longfirst",1
"19","LongShort 4","supp","short","dormitory","dorm","shortfirst",1
"20","LongShort 13","neut","short","limousine","limo","longfirst",1
"21","LongShort 36","neut","short","quadriceps","quads","longfirst",1
"22","LongShort 22","supp","short","carbohydrates","carbs","longfirst",1
"23","LongShort 16","neut","long","telephone","phone","shortfirst",1
"24","LongShort 19","neut","long","kilogram","kilo","longfirst",1
"25","LongShort 21","supp","long","television","TV","shortfirst",1
"26","LongShort 2","supp","short","bicycle","bike","shortfirst",1
"27","LongShort 7","supp","short","fraternity","frat","shortfirst",1
"28","LongShort 30","supp","short","identification","ID","shortfirst",1
"29","LongShort 29","neut","short","Labrador","Lab","shortfirst",1
"30","LongShort 26","supp","short","United Kingdom","U.K.","longfirst",1
"31","LongShort 8","neut","short","refrigerator","fridge","shortfirst",1
"32","LongShort 32","supp","short","Coca-Cola","Coke","shortfirst",1
"33","LongShort 24","neut","long","air conditioning","A/C","shortfirst",1
"34","LongShort 17","neut","long","referee","ref","shortfirst",1
"35","LongShort 6","supp","short","photograph","photo","shortfirst",1
"36","LongShort 39","supp","short","United States","U.S.","shortfirst",1
"37","LongShort 9","neut","long","hippopotamus","hippo","longfirst",1
"38","LongShort 28","neut","short","laboratory","lab","longfirst",1
"39","LongShort 3","supp","short","examination","exam","shortfirst",1
"40","LongShort 1","neut","short","mathematics","math","longfirst",1
"41","LongShort 8","neut","long","refrigerator","fridge","longfirst",2
"42","LongShort 15","neut","long","cockroach","roach","shortfirst",2
"43","LongShort 32","supp","long","Coca-Cola","Coke","longfirst",2
"44","LongShort 27","neut","long","microphone","mic","longfirst",2
"45","LongShort 16","supp","short","telephone","phone","longfirst",2
"46","LongShort 11","supp","long","chimpanzee","chimp","longfirst",2
"47","LongShort 23","supp","long","advertisement","ad","shortfirst",2
"48","LongShort 6","supp","long","photograph","photo","longfirst",2
"49","LongShort 7","neut","long","fraternity","frat","shortfirst",2
"50","LongShort 37","supp","short","quadrangle","quad","shortfirst",2
"51","LongShort 40","supp","long","United Nations","U.N.","longfirst",2
"52","LongShort 17","neut","long","referee","ref","shortfirst",2
"53","LongShort 35","neut","long","hamburger","burger","longfirst",2
"54","LongShort 36","neut","short","quadriceps","quads","shortfirst",2
"55","LongShort 30","supp","short","identification","ID","longfirst",2
"56","LongShort 2","supp","short","bicycle","bike","longfirst",2
"57","LongShort 29","neut","long","Labrador","Lab","longfirst",2
"58","LongShort 14","neut","long","saxophone","sax","shortfirst",2
"59","LongShort 5","neut","short","memorandum","memo","shortfirst",2
"60","LongShort 38","neut","short","emergency room","ER","shortfirst",2
"61","LongShort 9","neut","short","hippopotamus","hippo","longfirst",2
"62","LongShort 28","neut","short","laboratory","lab","longfirst",2
"63","LongShort 25","supp","short","gasoline","gas","shortfirst",2
"64","LongShort 19","supp","short","kilogram","kilo","shortfirst",2
"65","LongShort 10","supp","short","rhinoceros","rhino","shortfirst",2
"66","LongShort 33","supp","long","milkshake","shake","longfirst",2
"67","LongShort 39","neut","long","United States","U.S.","shortfirst",2
"68","LongShort 1","neut","short","mathematics","math","shortfirst",2
"69","LongShort 21","neut","short","television","TV","shortfirst",2
"70","LongShort 13","supp","short","limousine","limo","shortfirst",2
"71","LongShort 3","neut","short","examination","exam","shortfirst",2
"72","LongShort 18","neut","long","undergraduate","undergrad","longfirst",2
"73","LongShort 4","supp","short","dormitory","dorm","shortfirst",2
"74","LongShort 34","supp","short","veterinarian","vet","shortfirst",2
"75","LongShort 31","supp","long","mayonnaise","mayo","longfirst",2
"76","LongShort 26","neut","long","United Kingdom","U.K.","longfirst",2
"77","LongShort 12","supp","short","pornography","porn","longfirst",2
"78","LongShort 22","neut","short","carbohydrates","carbs","shortfirst",2
"79","LongShort 20","neut","long","chemotherapy","chemo","longfirst",2
"80","LongShort 24","supp","short","air conditioning","A/C","shortfirst",2
"81","LongShort 13","neut","long","limousine","limo","longfirst",3
"82","LongShort 30","neut","short","identification","ID","shortfirst",3
"83","LongShort 34","supp","short","veterinarian","vet","shortfirst",3
"84","LongShort 2","supp","long","bicycle","bike","longfirst",3
"85","LongShort 38","neut","short","emergency room","ER","shortfirst",3
"86","LongShort 29","neut","long","Labrador","Lab","longfirst",3
"87","LongShort 36","supp","short","quadriceps","quads","shortfirst",3
"88","LongShort 32","neut","long","Coca-Cola","Coke","shortfirst",3
"89","LongShort 20","neut","long","chemotherapy","chemo","longfirst",3
"90","LongShort 35","supp","long","hamburger","burger","shortfirst",3
"91","LongShort 7","supp","long","fraternity","frat","shortfirst",3
"92","LongShort 3","supp","short","examination","exam","shortfirst",3
"93","LongShort 23","neut","long","advertisement","ad","shortfirst",3
"94","LongShort 33","supp","long","milkshake","shake","longfirst",3
"95","LongShort 28","supp","long","laboratory","lab","shortfirst",3
"96","LongShort 40","supp","long","United Nations","U.N.","shortfirst",3
"97","LongShort 12","supp","long","pornography","porn","longfirst",3
"98","LongShort 4","neut","short","dormitory","dorm","shortfirst",3
"99","LongShort 1","neut","short","mathematics","math","shortfirst",3
"100","LongShort 21","supp","short","television","TV","shortfirst",3
"101","LongShort 19","supp","short","kilogram","kilo","longfirst",3
"102","LongShort 10","supp","long","rhinoceros","rhino","shortfirst",3
"103","LongShort 18","supp","short","undergraduate","undergrad","shortfirst",3
"104","LongShort 37","neut","short","quadrangle","quad","longfirst",3
"105","LongShort 11","supp","long","chimpanzee","chimp","shortfirst",3
"106","LongShort 5","neut","short","memorandum","memo","longfirst",3
"107","LongShort 16","neut","long","telephone","phone","shortfirst",3
"108","LongShort 14","supp","long","saxophone","sax","longfirst",3
"109","LongShort 31","neut","long","mayonnaise","mayo","shortfirst",3
"110","LongShort 26","neut","long","United Kingdom","U.K.","longfirst",3
"111","LongShort 6","neut","long","photograph","photo","longfirst",3
"112","LongShort 24","supp","long","air conditioning","A/C","shortfirst",3
"113","LongShort 15","neut","long","cockroach","roach","longfirst",3
"114","LongShort 17","neut","long","referee","ref","shortfirst",3
"115","LongShort 8","neut","long","refrigerator","fridge","longfirst",3
"116","LongShort 9","neut","short","hippopotamus","hippo","longfirst",3
"117","LongShort 27","neut","long","microphone","mic","shortfirst",3
"118","LongShort 39","supp","long","United States","U.S.","longfirst",3
